"";"geo_unit";"year";"population"
"415";"CZ";1700;145
"416";"DE";1700;1413
"417";"DK";1700;92
"418";"EE";1700;18
"419";"EL";1700;164
"420";"ES";1700;1686
"421";"FI";1700;15
"422";"FR";1700;2956
"423";"HR";1700;33
"424";"HU";1700;124
"425";"IE";1700;160
"426";"IT";1700;3192
"427";"LT";1700;49
"428";"LU";1700;6
"429";"LV";1700;9
"430";"ME";1700;3
"431";"MK";1700;31
"432";"NL";1700;744
"433";"NO";1700;31
"434";"PL";1700;373
"435";"PT";1700;462
"436";"RO";1700;183
"437";"RS";1700;60
"438";"SE";1700;84
"439";"SI";1700;29
"440";"SK";1700;53
"441";"TR";1700;106
"442";"UK";1700;1173
"443";"AL";1750;76
"444";"AT";1750;275
"445";"BE";1750;570
"446";"BG";1750;201
"447";"CH";1750;140
"448";"CY";1750;22
"449";"CZ";1750;161
"450";"DE";1750;1816
"451";"DK";1750;114
"452";"EE";1750;19
"453";"EL";1750;182
"454";"ES";1750;2161
"455";"FI";1750;18
"456";"FR";1750;3419
"457";"HR";1750;43
"458";"HU";1750;310
"459";"IE";1750;293
"460";"IT";1750;3683
"461";"LT";1750;34
"462";"LU";1750;7
"463";"LV";1750;12
"464";"ME";1750;3
"465";"MK";1750;35
"466";"NL";1750;736
"467";"NO";1750;49
"468";"PL";1750;410
"469";"PT";1750;520
"470";"RO";1750;253
"471";"RS";1750;91
"472";"SE";1750;117
"473";"SI";1750;29
"474";"SK";1750;107
"475";"TR";1750;108
"476";"UK";1750;1597
"477";"AL";1800;100
"478";"AT";1800;379
"479";"BE";1800;698
"480";"BG";1800;259
"481";"CH";1800;150
"482";"CY";1800;22
"483";"CZ";1800;196
"484";"DE";1800;2347
"485";"DK";1800;145
"486";"EE";1800;22
"487";"EL";1800;232
"488";"ES";1800;2644
"489";"FI";1800;29
"490";"FR";1800;3925
"491";"HR";1800;53
"492";"HU";1800;459
"493";"IE";1800;441
"494";"IT";1800;4319
"495";"LT";1800;48
"496";"LU";1800;10
"497";"LV";1800;16
"498";"ME";1800;4
"499";"MK";1800;42
"500";"NL";1800;783
"501";"NO";1800;59
"502";"PL";1800;522
"503";"PT";1800;868
"504";"RO";1800;304
"505";"RS";1800;123
"506";"SE";1800;137
"507";"SI";1800;30
"508";"SK";1800;126
"509";"TR";1800;109
"510";"UK";1800;2701
"511";"AL";1850;108
"512";"AT";1850;631
"513";"BE";1850;1104
"514";"BG";1850;304
"515";"CH";1850;334
"516";"CY";1850;24
"517";"CZ";1850;332
"518";"DE";1850;4027
"519";"DK";1850;205
"520";"EE";1850;39
"521";"EL";1850;287
"522";"ES";1850;3653
"523";"FI";1850;48
"524";"FR";1850;5812
"525";"HR";1850;80
"526";"HU";1850;812
"527";"IE";1850;546
"528";"IT";1850;5484
"529";"LT";1850;111
"530";"LU";1850;22
"531";"LV";1850;39
"532";"ME";1850;5
"533";"MK";1850;65
"534";"NL";1850;1048
"535";"NO";1850;107
"536";"PL";1850;1142
"537";"PT";1850;954
"538";"RO";1850;565
"539";"RS";1850;230
"540";"SE";1850;204
"541";"SI";1850;49
"542";"SK";1850;156
"543";"TR";1850;103
"544";"UK";1850;7331
"545";"AL";1900;122
"546";"AT";1900;2009
"547";"BE";1900;1789
"548";"BG";1900;404
"549";"CH";1900;752
"550";"CY";1900;31
"551";"CZ";1900;982
"552";"DE";1900;13670
"553";"DK";1900;607
"554";"EE";1900;114
"555";"EL";1900;544
"556";"ES";1900;5631
"557";"FI";1900;133
"558";"FR";1900;10943
"559";"HR";1900;204
"560";"HU";1900;1995
"561";"IE";1900;539
"562";"IT";1900;10139
"563";"LT";1900;283
"564";"LU";1900;21
"565";"LV";1900;175
"566";"ME";1900;6
"567";"MK";1900;110
"568";"NL";1900;2303
"569";"NO";1900;448
"570";"PL";1900;3492
"571";"PT";1900;1742
"572";"RO";1900;1376
"573";"RS";1900;421
"574";"SE";1900;669
"575";"SI";1900;94
"576";"SK";1900;254
"577";"TR";1900;130
"578";"UK";1900;17559
"579";"AL";1950;367
"580";"AT";1950;2482
"581";"BE";1950;2147
"582";"BG";1950;1560
"583";"CH";1950;1356
"584";"CY";1950;112
"585";"CZ";1950;2072
"586";"DE";1950;26401
"587";"DK";1950;1413
"588";"EE";1950;379
"589";"EL";1950;1690
"590";"ES";1950;11201
"591";"FI";1950;407
"592";"FR";1950;13299
"593";"HR";1950;653
"594";"HU";1950;3113
"595";"IE";1950;738
"596";"IT";1950;16341
"597";"LT";1950;528
"598";"LU";1950;41
"599";"LV";1950;115
"600";"ME";1950;14
"601";"MK";1950;244
"602";"NL";1950;3959
"603";"NO";1950;852
"604";"PL";1950;4916
"605";"PT";1950;2989
"606";"RO";1950;2646
"607";"RS";1950;875
"608";"SE";1950;1791
"609";"SI";1950;221
"610";"SK";1950;472
"611";"TR";1950;136
"612";"UK";1950;23563
"613";"AL";2000;933
"614";"AT";2000;2800
"615";"BE";2000;3301
"616";"BG";2000;3042
"617";"CH";2000;1584
"618";"CY";2000;412
"619";"CZ";2000;2732
"620";"DE";2000;32701
"621";"DK";2000;1831
"622";"EE";2000;547
"623";"EL";2000;2855
"624";"ES";2000;20633
"625";"FI";2000;1279
"626";"FR";2000;15746
"627";"HR";2000;1349
"628";"HU";2000;4082
"629";"IE";2000;1021
"630";"IT";2000;19325
"631";"LT";2000;1326
"632";"LU";2000;80
"633";"LV";2000;278
"634";"ME";2000;136
"635";"MK";2000;692
"636";"NL";2000;6543
"637";"NO";2000;1304
"638";"PL";2000;12307
"639";"PT";2000;3450
"640";"RO";2000;7000
"641";"RS";2000;2701
"642";"SE";2000;2171
"643";"SI";2000;446
"644";"SK";2000;1170
"645";"TR";2000;368
"646";"UK";2000;24811
