ID;GDPpc
US16980;57509,55
US17020;29763,3
US17140;50424,15
US17300;32366,25
US17420;32519,55
US17460;50859,9
US17660;31818,15
US17780;30431,1
US17820;42165,9
US17860;45518,55
US17900;43281
US17980;37915,5
US18020;50818,95
US18140;52587,15
US18580;42551,25
US18700;32190,9
US18880;43613,85
US19060;28695,45
US19100;59946,6
US19140;62158,95
US19180;30957,15
US19300;30228,45
US19340;42942,9
US19380;45979,5
US19460;33318,6
US19500;50015,7
US19660;26072,55
US19740;62072,85
US19780;60283,65
US19820;51152,85
US20020;33736,5
US20100;41405,7
US20220;41324,85
US20260;36704,85
US20500;58839,9
US20700;34161,75
US20740;35620,2
US20940;27770,4
US21060;32430,3
US21140;45584,7
US21300;31451,7
US21340;35012,25
US21420;34809,6
US21500;36782,55
US21660;33859,35
US21780;52193,4
US21820;58157,4
US22020;46259,85
US22140;56797,65
US22180;37668,75
US22220;39510,45
US22380;35564,55
US22420;31757,25
US22500;37354,8
US22520;26583,9
US22540;37273,95
US22660;39246,9
US22900;32970
US23060;42815,85
US23420;31907,4
US23460;25706,1
US23540;37751,7
US23580;42699,3
US23900;27430,2
US24020;30361,8
US24140;34752,9
US24220;36202,95
US24260;35578,2
US24300;34848,45
US24340;47054,7
US24420;21493,5
US24500;32827,2
US24540;37935,45
US24580;50377,95
US24660;50656,2
US24780;40378,8
US24860;41731,2
US25060;37013,55
US25180;34699,35
US25220;22643,25
US25260;27344,1
US25420;54245,1
US25500;55514,55
US25540;65718,45
US25620;32273,85
US25860;37435,65
US25940;58490,25
US25980;33252,45
US26140;23657,55
US26300;28518
US26380;36640,8
US26420;62787,9
US26580;30493,05
US26620;45196,2
US26820;39517,8
US26900;58849,35
US26980;49376,25
US27060;40103,7
US27100;34193,25
US27140;41318,55
US27180;38456,25
US27260;45223,5
US27340;35071,05
US27500;33640,95
US27620;40747,35
US27740;29400
US27780;28908,6
US27860;32301,15
US27900;35212,8
US27980;44935,8
US28020;41221,95
US28100;30616,95
US28140;52745,7
US28420;41197,8
US28660;33750,15
US28700;35448
US28740;26553,45
US28940;38050,95
US29020;41631,45
US29100;41176,8
US29180;44392,95
US29200;41221,95
US29340;55791,75
US29420;21640,5
US29460;31568,25
US29540;44772
US29620;44290,05
US29700;30765
US29740;27009,15
US29820;49522,2
US29940;36725,85
US30020;32155,2
US30140;31063,2
US30300;33762,75
US30340;33432
US30460;51129,75
US30620;41772,15
US30700;48534,15
US30780;45103,8
US30860;25811,1
US30980;38042,55
US31020;32428,2
US31080;53162,55
US31140;47650,05
US31180;33130,65
US31340;34427,4
US31420;40281,15
US31460;23002,35
US31540;57541,05
US31700;45885
US31740;30374,4
US31860;40461,75
US31900;33163,2
US32580;18665,85
US32780;33806,85
US32820;51591,75
US32900;23156,7
US33100;46672,5
US33140;33610,5
US33220;47849,55
US33260;142331,7
US33340;54234,6
US33460;60136,65
US33540;38855,25
US33660;38140,2
US33700;31747,8
US33740;34182,75
US33780;29456,7
US33860;41321,7
US34060;40975,2
US34100;32850,3
US34580;42280,35
US34620;32289,6
US34740;30063,6
US34820;42814,8
US34900;59836,35
US34940;58875,6
US34980;50915,55
US35100;35326,2
US35300;48109,95
US35380;56292,6
US35620;64290,45
US35660;37538,55
US35840;34195,35
US35980;50362,2
US36100;24114,3
US36140;41343,75
US36220;38079,3
US36260;33272,4
US36420;44371,95
US36500;38480,4
US36540;52960,95
US36740;49353,15
US36780;47741,4
US36980;37273,95
US37100;43894,2
US37340;30146,55
US37460;34440
US37620;36940,05
US37860;32860,8
US37900;41133,75
US37980;55197,45
US38060;46566,45
US38220;29553,3
US38300;46404,75
US38340;43162,35
US38540;28882,35
US38860;48046,95
US38900;45167,85
US38940;28030,8
US39140;25353,3
US39300;40537,35
US39340;28567,35
US39380;28169,4
US39460;22318,8
US39540;39599,7
US39580;57129,45
US39660;40692,75
US39740;39868,5
US39820;33144,3
US39900;58545,9
US40060;57414
US40140;28639,8
US40220;44648,1
US40340;45012,45
US40380;45677,1
US40420;40837,65
US40580;42326,55
US40660;37205,7
US40900;48172,95
US40980;37854,6
US41060;41949,6
US41100;27991,95
US41140;32950,05
US41180;49365,75
US41420;33438,3
US41500;43266,3
US41540;37121,7
US41620;54264
US41660;37230,9
US41700;40245,45
US41740;52970,4
US41860;73648,05
US41940;77644,35
US42020;39892,65
US42100;44268
US42140;47883,15
US42200;45324,3
US42220;47069,4
US42340;39645,9
US42540;36418,2
US42660;67659,9
US42680;35569,8
US42700;18176,55
US43100;45755,85
US43300;26298,3
US43340;44240,7
US43420;27925,8
US43580;44734,2
US43620;51999,15
US43780;36834
US43900;37741,2
US44060;36254,4
US44100;45666,6
US44140;36874,95
US44180;37603,65
US44220;30023,7
US44300;41041,35
US44420;38885,7
US44700;33308,1
US44940;29806,35
US45060;41845,65
US45220;40667,55
US45300;40242,3
US45460;33429,9
US45500;30643,2
US45540;16657,2
US45780;44320,5
US45820;42089,25
US45940;67145,4
US46060;38007,9
US46140;42783,3
US46220;34092,45
US46300;31514,7
US46340;44499
US46520;47253,15
US46540;30892,05
US46660;31737,3
US46700;34079,85
US47020;38035,2
US47220;33885,6
US47260;45951,15
US47300;26474,7
US47380;31439,1
US47460;34743,45
US47580;36537,9
US47900;69927,9
US47940;39832,8
US48060;42130,2
US48140;42906,15
US48260;31639,65
US48300;32671,8
US48540;36724,8
US48620;45782,1
US48660;35748,3
US48700;33185,25
US48900;43001,7
US49020;41760,6
US49180;46334,4
US49340;38368,05
US49420;29100,75
US49620;38273,55
US49660;34643,7
US49700;28812
US49740;27325,2
UKI1;88302,96155
UKI2;36847,67372
CN59932;27028,14991
CN35568;28866,79051
CN35529;31299,89095
CN24433;31743,47495
CN59915;32017,49891
CN35543;33418,71024
CN24442;35170,39528
CN35539;35257,14242
CN35521;35942,76888
CN35580;36481,14901
CN13305;36657,0481
CN24408;38094,75056
CN47725;38823,81725
CN35537;38824,61285
CN59935;38912,3435
CN35595;39109,0669
CN13310;39139,05347
CN24421;39162,98762
CN10001;39859,34546
CN46602;40493,41486
CN35555;40772,7407
CN59933;41503,88428
CN24462;41540,24418
CN12205;41888,35413
CN35559;44120,50991
CN35541;44777,63368
CN35532;47689,112
CN47705;49195,09199
CN48835;51251,47664
CN35550;52247,25831
CN35535;52574,02165
CN35505;52885,58951
CN24505;52885,58951
CN48825;56436,83335
