;level3_main_occ;n;new
694;duchessa;3;
695;duque;3;
696;espionage;3;
697;etcher;3;
698;favourite;3;
699;fiddler;3;
700;fitness;3;
701;founding_father;3;
702;futsal;3;
703;general;3;
704;gentilhomme;3;
705;gentry;3;
706;grandmaster;3;
707;großmeister;3;
708;guerra;3;
709;head_of_state;3;
710;herzogin;3;
711;ice_hockey;3;
712;illusionist;3;
713;impérial;3;
714;liedermacher;3;
715;lutenist;3;
716;marketing;3;
717;medallist;3;
718;membro_della_casa;3;
719;moine;3;
720;monastery;3;
721;motivational_speaker;3;
722;motorcycle;3;
723;nfl;3;
724;operator;3;
725;pamphleteer;3;
726;peasant;3;
727;película;3;
728;photographic;3;
729;pilote_de_chasse;3;
730;pointage;3;
731;poker_player;3;
732;publishing;3;
733;race_walker;3;
734;regierung;3;
735;religieux;3;
736;religioso;3;
737;robber;3;
738;seiyū;3;
739;senator;3;
740;separatist;3;
741;sheriff;3;
742;shipbuilder;3;
743;shooter;3;
744;sons;3;
745;soviet_partisan;3;
746;star;3;
747;supremacist;3;
748;theatrical;3;
749;united_nation;3;
750;vassal;3;
751;ventriloquist;3;
752;winegrower;3;
753;_doge;2;
754;_graf;2;
755;_herr;2;
756;_khan;2;
757;_könig;2;
758;_líder;2;
759;_opfer;2;
760;_pape;2;
761;_pilot;2;
762;_policía;2;
763;_re;2;
764;_saint;2;
765;_sohn;2;
766;_trono;2;
767;acteur;2;
768;adliger;2;
769;aktivist;2;
770;amiral;2;
771;apostle;2;
772;arcivescovo;2;
773;backstroke;2;
774;baker;2;
775;ballerina;2;
776;ballooning;2;
777;bard;2;
778;bischof;2;
779;bodyguard;2;
780;butcher;2;
781;cabinetmaker;2;
782;campeon;2;
783;carmelitano;2;
784;carver;2;
785;castellan;2;
786;chocolatier;2;
787;cobbler;2;
788;comtesse;2;
789;condamné;2;
790;conquest;2;
791;construction;2;
792;corsair;2;
793;day_adventist;2;
794;delegate;2;
795;democrat;2;
796;dessinateur;2;
797;dirigente;2;
798;diving;2;
799;doyenne_de_;2;
800;duché;2;
801;ecologist;2;
802;emir;2;
803;emmy;2;
804;empereur;2;
805;episcopal;2;
806;erzherzog;2;
807;famiglia_reale;2;
808;fiancée;2;
809;figlia;2;
810;filme;2;
811;folklore;2;
812;freedom_fighter;2;
813;friherre;2;
814;geheimrat;2;
815;gliding;2;
816;governo;2;
817;grand_prix;2;
818;grandmother;2;
819;guerilla;2;
820;guru;2;
821;hairdresser;2;
822;hermit;2;
823;herrscher;2;
824;high_steward;2;
825;hollywood;2;
826;horticulturalist;2;
827;hotelier;2;
828;iglesia;2;
829;imperatore;2;
830;innkeeper;2;
831;instrument_maker;2;
832;jacobite;2;
833;jewellery_designer;2;
834;journalism;2;
835;juge;2;
836;junge;2;
837;kite;2;
838;königlich;2;
839;krigare;2;
840;kurfürst;2;
841;langravio;2;
842;leiter;2;
843;libraire;2;
844;lighthouse_keeper;2;
845;lobbyist;2;
846;loyalist;2;
847;management;2;
848;margravio;2;
849;marqués;2;
850;marquesa;2;
851;marskalk;2;
852;masonry;2;
853;matrimonio;2;
854;mental_calculator;2;
855;meurtre;2;
856;militante;2;
857;mord;2;
858;mystique;2;
859;nanny;2;
860;oficial;2;
861;olympian;2;
862;opponent;2;
863;opticien;2;
864;painting;2;
865;pasteur;2;
866;pessoa_mais_velha;2;
867;pilote_de_rallyes;2;
868;plumber;2;
869;poisoner;2;
870;política;2;
871;politique;2;
872;potter;2;
873;prefect;2;
874;prinsessa;2;
875;public_servant;2;
876;pupil;2;
877;rancher;2;
878;record_producer;2;
879;régent;2;
880;renskötare;2;
881;reporter;2;
882;résistant;2;
883;révolution_américaine;2;
884;rowing;2;
885;rubik;2;
886;samurai;2;
887;scion;2;
888;secret_agent;2;
889;secret_service_agent;2;
890;secrétaire;2;
891;senate;2;
892;showgirl;2;
893;soldat;2;
894;solicitor;2;
895;souverain;2;
896;sovrano;2;
897;staatsmann;2;
898;starb;2;
899;sultano;2;
900;survivant;2;
901;technician;2;
902;técnic;2;
903;telegraphist;2;
904;terrorista;2;
905;thron;2;
906;tortured;2;
907;trainer;2;
908;trombonist;2;
909;trône;2;
910;waiter;2;
911;warlord;2;
912;weaver;2;
913;youtube_personality;2;
914;zionism;2;
915;_abate;1;
916;_arte;1;
917;_autor;1;
918;_bajo;1;
919;_bau;1;
920;_club;1;
921;_creador;1;
922;_esposa;1;
923;_filho;1;
924;_groupe;1;
925;_heilige;1;
926;_hexe;1;
927;_hijo;1;
928;_kunst;1;
929;_lord;1;
930;_mistico;1;
931;_moto;1;
932;_mujer;1;
933;_nageur;1;
934;_naine;1;
935;_papa;1;
936;_pilote_auto;1;
937;_poète;1;
938;_regina;1;
939;_religieuse;1;
940;_religioso;1;
941;_rey;1;
942;_sainte;1;
943;_scrittrice;1;
944;_son;1;
945;_vater;1;
946;_vendedor;1;
947;abad;1;
948;abbé;1;
949;abgeordneter;1;
950;abt;1;
951;activism;1;
952;activista;1;
953;actriz;1;
954;aeroplane_designer;1;
955;affair_with;1;
956;agent;1;
957;airline_pilot;1;
958;alderman;1;
959;almirante;1;
960;ämbetsman;1;
961;arcebispo;1;
962;archdiocese;1;
963;archery;1;
964;archevêque;1;
965;armée;1;
966;armén;1;
967;artillerie;1;
968;arvinge;1;
969;atriz;1;
970;attivista;1;
971;attrice;1;
972;auctioneer;1;
973;auteur;1;
974;auto_da_corsa;1;
975;aviador;1;
976;bäcker;1;
977;baleeir;1;
978;bandit;1;
979;baroness;1;
980;bartender;1;
981;bedragare;1;
982;bellezza;1;
983;berater;1;
984;biathlon;1;
985;bootlegger;1;
986;bourgeois;1;
987;bowler;1;
988;breaststroke;1;
989;brigade;1;
990;bruder;1;
991;butler;1;
992;cabinet_maker;1;
993;cacique;1;
994;calife;1;
995;caliphate;1;
996;câmara_municipal;1;
997;camisard;1;
998;capitalist;1;
999;capo;1;
1000;car_racing;1;
1001;cardinale;1;
1002;casting_director;1;
1003;cattleman;1;
1004;cavaliere;1;
1005;centenári;1;
1006;chasseur;1;
1007;chef_de_guerre;1;
1008;choral;1;
1009;christian_apologist;1;
1010;cidadã;1;
1011;citoyen;1;
1012;ciudadan;1;
1013;clerk;1;
1014;coal_miner;1;
1015;comandante;1;
1016;comédie;1;
1017;concertmaster;1;
1018;condemned;1;
1019;condenad;1;
1020;conseiller;1;
1021;conspiration;1;
1022;correspondant;1;
1023;corsaire;1;
1024;corsaro;1;
1025;cortesano;1;
1026;councillor;1;
1027;councilor;1;
1028;counselor;1;
1029;courtisan;1;
1030;cross_country;1;
1031;curate;1;
1032;decathlon;1;
1033;défenseur;1;
1034;dentista;1;
1035;député;1;
1036;diacre;1;
1037;dietitian;1;
1038;doyen_masculin;1;
1039;doyenne_des;1;
1040;dressmaker;1;
1041;duca;1;
1042;duma;1;
1043;dwarf;1;
1044;écuyer;1;
1045;employé;1;
1046;enfant_prodige;1;
1047;enkel;1;
1048;episode;1;
1049;erzbischof;1;
1050;esclave;1;
1051;escrime;1;
1052;escritor;1;
1053;exotic_dancer;1;
1054;falegname;1;
1055;famille_royale;1;
1056;fan;1;
1057;far_till;1;
1058;fascista;1;
1059;fisher;1;
1060;fonctionnaire;1;
1061;förare;1;
1062;företagare;1;
1063;författare;1;
1064;fotógraf;1;
1065;frade;1;
1066;fraile;1;
1067;franciscain;1;
1068;freiheitskämpfer;1;
1069;fullback;1;
1070;gallerist;1;
1071;géant;1;
1072;gemahlin;1;
1073;generalmajor;1;
1074;ghostwriter;1;
1075;giant;1;
1076;ginasta;1;
1077;ginnasta;1;
1078;giudice;1;
1079;go_professional;1;
1080;gobernante;1;
1081;gobierno;1;
1082;graf;1;
1083;gran_visir;1;
1084;grand_pensionary;1;
1085;granjer;1;
1086;greve;1;
1087;grevinna;1;
1088;großfürst;1;
1089;gruvarbetare;1;
1090;guantanamo;1;
1091;guide;1;
1092;handlare;1;
1093;hatter;1;
1094;häuptling;1;
1095;hegumen;1;
1096;herausgeber;1;
1097;héroïne;1;
1098;hija;1;
1099;hijo;1;
1100;hitman;1;
1101;hofmeister;1;
1102;horseman;1;
1103;hôtelier;1;
1104;housekeeper;1;
1105;hurdling;1;
1106;hurler;1;
1107;illustrateur;1;
1108;illustrations;1;
1109;imperatrice;1;
1110;imperiale;1;
1111;industrial;1;
1112;informatiker;1;
1113;instrumentalist;1;
1114;intendant;1;
1115;investigator;1;
1116;islamiste;1;
1117;jarl;1;
1118;jester;1;
1119;jesús;1;
1120;juez;1;
1121;juriste;1;
1122;kaiserin;1;
1123;kaiserlich;1;
1124;kampf;1;
1125;katholischer;1;
1126;kgb_agent;1;
1127;kickboxing;1;
1128;kind;1;
1129;kommandant;1;
1130;kongress;1;
1131;labourer;1;
1132;lama;1;
1133;legislator;1;
1134;leutnant;1;
1135;libération;1;
1136;liebhaber;1;
1137;luge;1;
1138;lumber;1;
1139;machinist;1;
1140;madre_di;1;
1141;magistrato;1;
1142;maîtresse;1;
1143;makeup_artist;1;
1144;manga;1;
1145;mannequin;1;
1146;manslaughter;1;
1147;marchand;1;
1148;marchese;1;
1149;maréchal;1;
1150;mariage;1;
1151;marja;1;
1152;märtyrer;1;
1153;mentalist;1;
1154;mère_de;1;
1155;miller;1;
1156;millionaire;1;
1157;mime;1;
1158;ministère;1;
1159;ministre;1;
1160;mitarbeiter;1;
1161;modeling_agent;1;
1162;momia;1;
1163;monarca;1;
1164;mönch;1;
1165;mördad;1;
1166;mörder;1;
1167;mormon;1;
1168;mosque;1;
1169;mossad;1;
1170;mosteiro;1;
1171;motocross;1;
1172;mp;1;
1173;mujer;1;
1174;munk;1;
1175;muralist;1;
1176;musique;1;
1177;mystiker;1;
1178;nationaliste;1;
1179;nobiltà;1;
1180;oberführer;1;
1181;obisp;1;
1182;officiell;1;
1183;offiziell;1;
1184;oldest_person;1;
1185;olympique;1;
1186;opérateur;1;
1187;oracle;1;
1188;orador;1;
1189;orator;1;
1190;paint;1;
1191;parachuting;1;
1192;paragliding;1;
1193;parlement;1;
1194;patriarch;1;
1195;patrician;1;
1196;pelotari;1;
1197;pendu;1;
1198;periodismo;1;
1199;philanthrope;1;
1200;pilot;1;
1201;pitcher;1;
1202;playboy_playmate;1;
1203;poète;1;
1204;policeman;1;
1205;polícia;1;
1206;policier;1;
1207;politico;1;
1208;politiker;1;
1209;politisk;1;
1210;pompier;1;
1211;pornographer;1;
1212;portraitist;1;
1213;postman;1;
1214;prédicateur;1;
1215;predikant;1;
1216;presbitero;1;
1217;prins;1;
1218;procurer;1;
1219;producteur;1;
1220;prophète;1;
1221;psychisch;1;
1222;racketeer;1;
1223;rainha;1;
1224;ratsherr;1;
1225;reeder;1;
1226;regnante;1;
1227;rejoneador;1;
1228;religiosa;1;
1229;remo;1;
1230;résistance;1;
1231;retraité;1;
1232;révolution_française;1;
1233;révolutionnaire;1;
1234;romancière;1;
1235;royalist;1;
1236;ruling;1;
1237;salesman;1;
1238;schiedsrichter;1;
1239;schlosser;1;
1240;sculpture;1;
1241;senhor;1;
1242;senior_official;1;
1243;shipping;1;
1244;shoemaker;1;
1245;skeleton;1;
1246;slalom;1;
1247;snooker;1;
1248;socialist_party;1;
1249;soloist;1;
1250;sorcellerie;1;
1251;speechwriter;1;
1252;speleologist;1;
1253;statthalter;1;
1254;storyteller;1;
1255;sultán;1;
1256;supercentenario;1;
1257;superstite;1;
1258;supreme_court;1;
1259;surf;1;
1260;svindlare;1;
1261;swimming;1;
1262;swordsman;1;
1263;taekwondo;1;
1264;technicien;1;
1265;tenente;1;
1266;terroriste;1;
1267;theologin;1;
1268;tinsmith;1;
1269;tochter;1;
1270;tokugawa;1;
1271;traducteur;1;
1272;trono;1;
1273;ufficiale;1;
1274;unabhängigkeit;1;
1275;uncle;1;
1276;unionist;1;
1277;verkäufer;1;
1278;vétéran;1;
1279;violist;1;
1280;vizekönig;1;
1281;vizier;1;
1282;vizir;1;
1283;volunteer;1;
1284;vorsitzender;1;
1285;waitress;1;
1286;watercolourist;1;
1287;welder;1;
1288;world_cup;1;
1289;world_war_ii_pilot;1;
1290;zookeeper;1;
